cluster_id,app_instance_id,time,feature_mask
vaas-k8s-in01,00013372-695e-ab75-a526-125cf9b958b3,2022-09-01T13:56:12Z,1572865
vaas-k8s-in01,00013372-695e-ab75-a526-125cf9b958b3,2022-09-01T13:57:12Z,2622464
vaas-k8s-in01,0001873e-3b43-33ed-cc32-ad958579152a,2022-07-28T12:41:37Z,3670017
vaas-k8s-in01,0001873e-3b43-33ed-cc32-ad958579152a,2022-07-28T12:42:40Z,3671041
vaas-k8s-in01,0001873e-3b43-33ed-cc32-ad958579152a,2022-07-28T12:43:37Z,525313
vaas-k8s-in01,0001873e-3b43-33ed-cc32-ad958579152a,2022-07-28T12:44:37Z,525313
vaas-k8s-in01,0001873e-3b43-33ed-cc32-ad958579152a,2022-07-28T12:45:37Z,525313
vaas-k8s-in01,0001873e-3b43-33ed-cc32-ad958579152a,2022-07-28T12:46:37Z,525313
vaas-k8s-in01,0001873e-3b43-33ed-cc32-ad958579152a,2022-07-28T12:47:37Z,0
vaas-k8s-in01,0001873e-3b43-33ed-cc32-ad958579152a,2022-07-28T12:49:37Z,0
vaas-k8s-in01,0001873e-3b43-33ed-cc32-ad958579152a,2022-07-28T12:50:37Z,0
vaas-k8s-in01,0001873e-3b43-33ed-cc32-ad958579152a,2022-07-28T12:51:37Z,0
vaas-k8s-in01,0002085b-ffd1-c0f1-cb0b-f071b66aaa0a,2022-09-14T04:26:43Z,524288
vaas-k8s-in01,0002085b-ffd1-c0f1-cb0b-f071b66aaa0a,2022-09-14T04:27:43Z,3671041
vaas-k8s-in01,0002085b-ffd1-c0f1-cb0b-f071b66aaa0a,2022-09-14T04:30:44Z,524289
vaas-k8s-in01,0002085b-ffd1-c0f1-cb0b-f071b66aaa0a,2022-09-14T04:30:44Z,0
vaas-k8s-in01,0002085b-ffd1-c0f1-cb0b-f071b66aaa0a,2022-09-14T04:30:44Z,0
vaas-k8s-in01,0002085b-ffd1-c0f1-cb0b-f071b66aaa0a,2022-09-14T04:35:04Z,0
vaas-k8s-in01,0002085b-ffd1-c0f1-cb0b-f071b66aaa0a,2022-09-14T04:35:04Z,0
vaas-k8s-in01,0002085b-ffd1-c0f1-cb0b-f071b66aaa0a,2022-09-14T04:35:04Z,0
vaas-k8s-in01,0002085b-ffd1-c0f1-cb0b-f071b66aaa0a,2022-09-14T04:35:04Z,0
vaas-k8s-in01,00024654-c8b9-d67b-afeb-99a41611b1ae,2022-09-16T06:23:56Z,1572865
vaas-k8s-in01,00024654-c8b9-d67b-afeb-99a41611b1ae,2022-09-16T06:24:56Z,2622465
vaas-k8s-in01,00024654-c8b9-d67b-afeb-99a41611b1ae,2022-09-16T06:25:56Z,525313
vaas-k8s-in01,00024654-c8b9-d67b-afeb-99a41611b1ae,2022-09-16T06:26:56Z,525313
vaas-k8s-in01,00024654-c8b9-d67b-afeb-99a41611b1ae,2022-09-16T06:27:56Z,525313
vaas-k8s-in01,00024654-c8b9-d67b-afeb-99a41611b1ae,2022-09-16T06:28:56Z,525313
vaas-k8s-in01,00024654-c8b9-d67b-afeb-99a41611b1ae,2022-09-16T06:29:57Z,525313
vaas-k8s-in01,00024654-c8b9-d67b-afeb-99a41611b1ae,2022-09-16T06:30:57Z,0
vaas-k8s-in01,00024654-c8b9-d67b-afeb-99a41611b1ae,2022-09-16T06:31:57Z,0
vaas-k8s-in01,00024654-c8b9-d67b-afeb-99a41611b1ae,2022-09-16T06:32:57Z,0
vaas-k8s-in01,00024654-c8b9-d67b-afeb-99a41611b1ae,2022-09-16T06:33:57Z,0
vaas-k8s-in01,00024654-c8b9-d67b-afeb-99a41611b1ae,2022-09-16T06:37:18Z,0
vaas-k8s-in01,00024654-c8b9-d67b-afeb-99a41611b1ae,2022-09-16T06:36:18Z,0
vaas-k8s-in01,00024654-c8b9-d67b-afeb-99a41611b1ae,2022-09-16T06:38:18Z,0
vaas-k8s-in01,00024654-c8b9-d67b-afeb-99a41611b1ae,2022-09-16T06:40:18Z,0
vaas-k8s-in01,00024654-c8b9-d67b-afeb-99a41611b1ae,2022-09-16T06:41:18Z,0
vaas-k8s-in01,00024654-c8b9-d67b-afeb-99a41611b1ae,2022-09-16T06:46:18Z,0
vaas-k8s-in01,00024654-c8b9-d67b-afeb-99a41611b1ae,2022-09-16T06:42:18Z,0
vaas-k8s-in01,00024654-c8b9-d67b-afeb-99a41611b1ae,2022-09-16T06:43:18Z,0
vaas-k8s-in01,00024654-c8b9-d67b-afeb-99a41611b1ae,2022-09-16T06:44:18Z,0
vaas-k8s-in01,00024654-c8b9-d67b-afeb-99a41611b1ae,2022-09-16T06:45:18Z,0
