grant_id,feature_name,cluster_id,resource_id,service_id,start_time,end_time
2300157,Core/l3dGen|Loader/OpenJT,vaas-k8s-in01,cc35c8ddb6783828f23e079e3dffa303285e00fd,TranscoderService,2022-09-19T16:34:51Z,2022-09-19T16:34:53Z
2300359,Core/l3dGen|Loader/OpenJT,vaas-k8s-in01,4833205971039a2126c60132c3adf4e068fdd544,TranscoderService,2022-09-19T16:35:42Z,2022-09-19T16:35:44Z
2300945,Core/l3dGen|Loader/OpenJT,vaas-k8s-in01,0f7e7f8d42183f552dc626ba9e9a0619b8969ce3,TranscoderService,2022-09-19T16:37:34Z,2022-09-19T16:37:35Z
2301151,Core/l3dGen|Loader/OpenJT,vaas-k8s-in01,91637692637302e89ae609d8e2bbd7d5d2484231,TranscoderService,2022-09-19T16:38:09Z,2022-09-19T16:38:21Z
2301560,Core/l3dGen|Loader/OpenJT,vaas-k8s-in01,36da5a1044e858113b7c052ce9874a7e495ebcb0,TranscoderService,2022-09-19T16:39:30Z,2022-09-19T16:39:34Z
2302030,Core/l3dGen|Loader/OpenJT,vaas-k8s-in01,6fa3a9e4ba52d8688854a0198f1575b3a1ca78dd,TranscoderService,2022-09-19T16:41:06Z,2022-09-19T16:41:10Z
2302081,Core/l3dGen|Loader/OpenJT,vaas-k8s-in01,c565d4df2a8662558192d34a80a2a73c74a4c5fa,TranscoderService,2022-09-19T16:41:24Z,2022-09-19T16:41:26Z
2302250,Core/l3dGen|Loader/OpenJT,vaas-k8s-in01,acffb0d8b0aa8fb61913fd2594e2d57b917732d3,TranscoderService,2022-09-19T16:42:14Z,2022-09-19T16:42:16Z
2302582,Core/l3dGen|Loader/OpenJT,vaas-k8s-in01,5c8a88c6646879b98cd84d3c906fd974515f9b7d,TranscoderService,2022-09-19T16:43:26Z,2022-09-19T16:43:29Z
2302624,Core/l3dGen|Loader/OpenJT,vaas-k8s-in01,3ffbffec2c9d125f00f08f7692ea2805e242acd4,TranscoderService,2022-09-19T16:43:38Z,2022-09-19T16:43:39Z
2302986,Core/l3dGen|Loader/OpenJT,vaas-k8s-in01,abfe442a20c5f68000846c9572dc697139eeb8c3,TranscoderService,2022-09-19T16:45:03Z,2022-09-19T16:45:06Z
2304359,Core/l3dGen|Loader/OpenJT,vaas-k8s-in01,2717c534eb6e50a6aa5681049eae649d0f6bda7d,TranscoderService,2022-09-19T17:07:44Z,2022-09-19T17:07:49Z
2305662,Core/l3dGen|Loader/OpenJT,vaas-k8s-in01,bf5403f5396d664c6451943629fd397a92dd1447,TranscoderService,2022-09-19T17:10:59Z,2022-09-19T17:11:18Z
2305875,Core/l3dGen|Loader/OpenJT,vaas-k8s-in01,4df3c95070a29dc85f28b619b9f3f5b2c8434e90,TranscoderService,2022-09-19T17:11:21Z,2022-09-19T17:11:32Z
2306280,Core/l3dGen|Loader/OpenJT,vaas-k8s-in01,47d14cf735a1af2ee2edc04ca4dce51a1e98d494,TranscoderService,2022-09-19T17:11:57Z,2022-09-19T17:12:15Z
2306384,Core/l3dGen|Loader/OpenJT,vaas-k8s-in01,f3a933f9d937c552c7787692a5de673d72aa56b0,TranscoderService,2022-09-19T17:12:08Z,2022-09-19T17:12:42Z
2306342,Core/l3dGen|Loader/OpenJT,vaas-k8s-in01,0efed4e95e33fc808db6b650e85eedd20f28d0eb,TranscoderService,2022-09-19T17:12:03Z,2022-09-19T17:12:12Z
2306828,Core/l3dGen|Loader/OpenJT,vaas-k8s-in01,aa58bf890604cad3ef52ac94c22ed76547a84f36,TranscoderService,2022-09-19T17:12:50Z,2022-09-19T17:13:06Z
2306843,Core/l3dGen|Loader/OpenJT,vaas-k8s-in01,4a5386888ce1169602fc1c70d284ddac057b4fb7,TranscoderService,2022-09-19T17:12:51Z,2022-09-19T17:13:13Z
2307004,Core/l3dGen|Loader/OpenJT,vaas-k8s-in01,6d706247c28e20dadc694d6c5bc72bf31d4cc4e6,TranscoderService,2022-09-19T17:13:05Z,2022-09-19T17:13:19Z
2307168,Core/l3dGen|Loader/OpenJT,vaas-k8s-in01,4fec54c49e49ff7c716a34e48a9c889ce8c43574,TranscoderService,2022-09-19T17:13:22Z,2022-09-19T17:13:24Z
2306973,Core/l3dGen|Loader/OpenJT,vaas-k8s-in01,0c8fc50209644566184e9fc93559bacfe5983282,TranscoderService,2022-09-19T17:13:03Z,2022-09-19T17:13:19Z
2307399,Core/l3dGen|Loader/OpenJT,vaas-k8s-in01,468f4228e64684e1e8284ffcab78312f3cb1b889,TranscoderService,2022-09-19T17:13:43Z,2022-09-19T17:13:50Z
2307629,Core/l3dGen|Loader/OpenJT,vaas-k8s-in01,57dd10f3c7446124d1da1401e7db605506cce8d1,TranscoderService,2022-09-19T17:14:05Z,2022-09-19T17:14:17Z
2308313,Core/l3dGen|Loader/OpenJT,vaas-k8s-in01,93d71c055531b2c19b21922ed87c511b91c6c871,TranscoderService,2022-09-19T17:15:08Z,2022-09-19T17:15:17Z
2309026,Core/l3dGen|Loader/OpenJT,vaas-k8s-in01,b639a14c00481723e677606a3ac35fc6df7d4c5e,TranscoderService,2022-09-19T17:16:16Z,2022-09-19T17:16:24Z
2309065,Core/l3dGen|Loader/OpenJT,vaas-k8s-in01,a5ced25e6a9a461d2f4e6b2c2a7e2e9302fad66c,TranscoderService,2022-09-19T17:16:19Z,2022-09-19T17:16:27Z
2309752,Core/l3dGen|Loader/OpenJT,vaas-k8s-in01,575fb1f07d1022b06edef8953cedfd006b267ac4,TranscoderService,2022-09-19T17:17:20Z,2022-09-19T17:17:40Z
2310105,Core/l3dGen|Loader/OpenJT,vaas-k8s-in01,412e913e1c783137e7c73a8e7b058abb686865c4,TranscoderService,2022-09-19T17:17:44Z,2022-09-19T17:17:51Z
2310464,Core/l3dGen|Loader/OpenJT,vaas-k8s-in01,ece250be35521b537ce5c91f4ed4b8d8c7f3c8ef,TranscoderService,2022-09-19T17:18:10Z,2022-09-19T17:18:22Z
2310882,Core/l3dGen|Loader/OpenJT,vaas-k8s-in01,bf07d598999411853c38e8a1b1645e26b446e80c,TranscoderService,2022-09-19T17:18:39Z,2022-09-19T17:18:47Z
2311026,Core/l3dGen|Loader/OpenJT,vaas-k8s-in01,6a471620a92aa350563897fd3866f78ae9038d03,TranscoderService,2022-09-19T17:18:48Z,2022-09-19T17:18:54Z
2311134,Core/l3dGen|Loader/OpenJT,vaas-k8s-in01,e387968e7c60e897434e141ba762a2d044feb562,TranscoderService,2022-09-19T17:18:56Z,2022-09-19T17:19:03Z
2311059,Core/l3dGen|Loader/OpenJT,vaas-k8s-in01,e50ebdb8536f87c7142f37693e71304104bac70e,TranscoderService,2022-09-19T17:18:51Z,2022-09-19T17:19:04Z
2312932,Core/l3dGen|Loader/OpenJT,vaas-k8s-in01,4891e5eeb3c90c3cdf6c5202e574728314f7d313,TranscoderService,2022-09-19T17:45:35Z,2022-09-19T17:45:42Z
